 2.793   0.210  -1.419  -1.960   3.020   1.316   2.036  -1.364   1.775  -4.156   1.077   1.097   1.380  -0.074  -0.283   1.872   0.589   0.560   1.216   0.228  -0.669   0.436   0.278  -0.380   0.243   0.130  -0.763  -1.396   1.981  -4.178   1.481   0.054   0.687  -0.535   1.786   0.074  -0.200   0.482  -1.410   1.525   1.061   1.793   1.186   0.221   0.433   0.779  -0.318  -0.184   0.698   2.853 
-1.709   0.507   0.213  -1.350   3.382   0.608   0.728   4.113   1.438  -4.358  -0.266  -0.825   0.881  -0.466  -0.281   0.119   1.236  -0.435  -0.364   1.225   0.242  -0.308  -0.561   0.877   0.767   1.021   0.225   1.180   0.166   3.180   1.045   1.382   1.033   1.241   0.457  -0.349  -2.841  -0.238  -1.243  -0.992  -0.792   2.482   1.867   1.289  -0.996  -1.527  -3.162   0.791  -1.266   0.471 
 2.465   0.264  -0.277  -2.539   0.974   0.955   0.818  -1.771   1.524  -4.443   0.368   1.408  -0.690   0.124   0.640   0.753   0.045   0.758   1.535   2.271  -0.303   0.133  -0.039  -0.391   0.377  -0.660   0.149  -1.239   1.232  -2.825   0.128   0.248   1.844   0.531   0.963  -0.326  -2.333  -0.296  -0.505  -0.973   2.315   1.567  -0.331   1.514   0.098  -0.929  -2.602   1.178  -0.258   1.672 
-2.668  -0.713   0.563  -0.443   1.331  -0.468  -0.203   0.467   0.060  -3.890  -2.226  -1.504   0.382  -0.246  -0.379   1.913  -1.579  -1.577   0.468   2.828   1.032   1.351  -1.580   0.949   0.832   1.052   0.131   1.687   1.177   4.129   1.087   1.538   1.544   1.122   0.658  -0.653  -1.812  -0.290  -0.591  -0.616  -1.185   2.630  -0.167   1.401  -2.592  -0.186  -1.668   1.034  -0.258   0.749 
 1.817   1.250   1.331  -1.147   0.449   2.258  -0.365  -0.330  -0.228  -5.407   1.723  -0.364  -0.060   0.380   0.785   1.602   2.440  -1.676   0.154   2.119   0.125  -1.644   0.714  -1.605  -0.063   0.617  -0.666  -0.981  -0.060  -3.022   0.537   1.136   2.463  -0.262   0.815   1.308  -0.767  -0.101  -0.326   0.456   1.439   0.957   0.349   1.376  -0.953  -0.340  -0.589   2.312   2.060   1.222 
-2.696  -0.844  -1.048   0.190  -0.042  -2.414   1.229   3.183   0.424  -3.820  -0.406   0.613   0.599   2.043  -0.595   2.920  -0.230  -1.166   1.213   2.212   2.206   2.576  -1.512   0.028   2.062  -0.503   0.856   1.182   0.902   4.472   1.747   0.009   1.788  -1.282   1.717  -0.025  -2.280   0.058   0.727   1.220  -0.255   1.723   0.288   1.802  -0.707  -0.338  -0.020   1.156  -0.773   2.295 
 0.535   1.106   1.679  -1.515   0.651   0.394   0.949   0.219   0.136  -4.662   0.968   1.810  -0.460   0.973   1.124   1.090   1.420   0.107  -1.820   1.852   0.308  -2.210   0.253   0.093  -1.044   2.364  -2.336  -1.346   0.070  -2.772  -0.103   1.539   3.719   0.189  -0.347   2.278  -1.380  -0.738   0.907   1.306   2.188   2.313  -0.472   1.347   0.090  -0.722   0.415   2.201   2.122  -0.621 
 0.017  -1.235  -1.821  -0.549  -0.657  -0.854   1.225   3.042  -0.742  -3.251   0.136   1.721   0.291   2.266  -0.407   2.754  -0.048   0.765  -0.158   1.914   1.617  -0.479  -0.187   0.689   0.197  -1.956  -1.658   1.359   1.090   4.529   0.629  -0.032   2.186   1.426   1.389   2.477  -3.518   1.434   1.721   0.826  -1.643   1.792  -0.403   2.918   0.139  -0.146   2.299  -0.735  -1.422   1.318 
 0.637   1.539  -0.109  -1.221   0.854   1.429   1.161   0.374   0.637  -4.599   0.262   2.556   1.242  -0.508   1.766   0.190   1.000  -0.467   0.473   0.002  -0.004  -0.601  -0.574   0.732   0.732   2.790  -0.142  -0.174  -0.217  -4.703   1.308   0.309   4.123  -0.966  -0.133   2.664  -2.311  -1.562  -0.327   2.108   0.037   2.642  -2.024  -0.003  -0.048  -2.964   0.589   0.080   1.887   0.533 
 0.295   0.106  -0.204  -0.582  -0.114  -0.635   0.721   2.810  -2.034  -2.840  -1.052   1.632   2.011   1.232  -1.797   1.533  -0.435   1.063   0.273   0.189   1.986   0.564  -0.909   0.272   1.982  -3.926  -0.345  -0.055  -0.153   6.613   1.154  -1.290   5.088   2.960   0.939   3.145  -3.625  -0.472  -0.120   0.074   0.752   0.361  -0.138   0.733   0.673  -1.636   2.144   1.742  -2.349   1.254 
